model_key,aspect,score,raw_score,mentions,mean_confidence
apple iphone 6s,audio,3.568,3.331,15,0.797
apple iphone 7,audio,2.664,2.286,17,0.871
apple iphone 7 plus,audio,2.986,2.77,25,0.852
asus zenfone 5z,audio,5.972,6.176,20,0.756
asus zenfone max plus,audio,4.285,4.199,15,0.802
google pixel,audio,2.36,2.212,50,0.906
google pixel 2,audio,4.44,4.411,27,0.815
google pixel 2 xl,audio,3.611,3.534,44,0.851
google pixel 4,audio,5.734,5.909,19,0.829
google pixel xl,audio,4.781,4.795,22,0.812
google pixel xl g2pw210032gbbk,audio,2.823,2.691,45,0.876
huawei mate 10 pro,audio,5.261,5.315,34,0.785
motorola barrage,audio,5.74,5.908,20,0.83
motorola droid razr m,audio,4.681,4.681,26,0.842
motorola droid turbo,audio,3.935,3.846,27,0.844
motorola e plus,audio,4.836,4.868,15,0.852
motorola g6,audio,4.673,4.671,30,0.883
motorola moto g,audio,6.337,6.628,18,0.784
motorola moto g7,audio,4.24,4.196,32,0.832
motorola moto g7 power,audio,4.294,4.232,20,0.845
nokia 2,audio,4.01,3.884,17,0.902
nokia 3.1,audio,5.286,5.413,15,0.778
nokia 3310,audio,4.914,4.933,37,0.829
nokia 6,audio,4.714,4.716,52,0.864
nokia 7.1,audio,3.42,3.32,40,0.829
nokia lumia 900,audio,3.455,3.248,19,0.909
nokia lumia 920,audio,5.866,5.957,41,0.773
nokia lumia 928,audio,4.581,4.573,44,0.839
rog gaming zs600kl s845,audio,6.887,7.178,24,0.764
samsung convoy 3 rugged,audio,3.453,3.222,17,0.876
samsung galaxy a20 us,audio,4.994,5.059,15,0.833
samsung galaxy a70 6.7,audio,5.134,5.205,20,0.78
samsung galaxy note 10,audio,4.577,4.554,15,0.793
samsung galaxy note8,audio,4.673,4.67,15,0.832
samsung galaxy prevail ii,audio,3.526,3.309,17,0.842
samsung galaxy s6 edge,audio,4.94,4.99,16,0.893
samsung gophone,audio,7.009,7.33,23,0.867
sony xperia 1 6.5,audio,6.343,6.694,15,0.747
sony xperia 1 and,audio,6.343,6.694,15,0.747
sony xperia 10 plus,audio,5.086,5.17,15,0.756
sony xperia l2,audio,5.6,5.761,18,0.693
sony xperia xa ultra,audio,4.523,4.509,39,0.847
sony xperia xa1 ultra,audio,4.541,4.52,23,0.846
sony xperia xa2 ultra,audio,6.002,6.106,40,0.843
sony xperia xz,audio,4.748,4.754,29,0.833
sony xperia xz forest,audio,4.139,4.037,17,0.77
sony xperia xz premium,audio,5.652,5.745,33,0.752
sony xperia xz2 premium,audio,5.83,6.072,15,0.809
xiaomi mi a2,audio,6.0,6.16,26,0.797
xiaomi redmi note 6,audio,4.93,4.976,17,0.848
xiaomi redmi note 7,audio,6.252,6.43,28,0.846
apple iphone 6s,battery,3.901,3.845,146,0.808
apple iphone 6s plus,battery,4.652,4.539,33,0.814
apple iphone 7,battery,4.127,4.035,74,0.786
apple iphone 7 plus,battery,5.587,5.613,66,0.803
apple iphone 8,battery,5.237,5.227,36,0.826
apple iphone 8 plus,battery,3.979,3.645,23,0.829
apple iphone se,battery,4.799,4.618,16,0.798
apple iphone x,battery,5.165,5.157,93,0.774
apple iphone xs,battery,4.915,4.856,38,0.794
apple iphone xs max,battery,5.617,5.698,23,0.863
apple mglw2ll a ipad,battery,4.325,4.079,23,0.78
asus zenfone 5z,battery,7.124,7.519,27,0.807
asus zenfone max plus,battery,5.908,5.998,40,0.78
google pixel,battery,3.571,3.496,134,0.816
google pixel 2,battery,4.618,4.584,116,0.778
google pixel 2 google,battery,5.076,5.047,44,0.766
google pixel 2 xl,battery,5.122,5.114,131,0.795
google pixel 3,battery,4.495,4.262,20,0.821
google pixel 3 clearly,battery,4.456,4.288,29,0.775
google pixel 3 xl,battery,4.863,4.812,50,0.775
google pixel 4,battery,4.721,4.682,85,0.737
google pixel xl,battery,4.752,4.719,95,0.796
google pixel xl g2pw210032gbbk,battery,4.509,4.457,88,0.798
huawei ascend xt 2,battery,5.921,6.149,16,0.794
huawei mate 10 pro,battery,7.148,7.231,130,0.817
huawei mate 20 lite,battery,7.473,7.663,67,0.82
huawei mate 20 pro,battery,7.436,7.803,34,0.83
huawei p20 lite,battery,5.927,5.987,61,0.825
huawei p30 plus,battery,6.595,6.876,27,0.806
motorola barrage,battery,4.85,4.806,59,0.834
motorola droid razr m,battery,4.653,4.623,126,0.772
motorola droid turbo,battery,6.114,6.152,128,0.795
motorola droid turbo 2,battery,3.882,3.425,18,0.876
motorola droid turbo ballistic,battery,3.853,3.386,18,0.851
motorola e plus,battery,6.728,6.779,165,0.791
motorola g6,battery,6.0,6.032,130,0.803
motorola g6 play,battery,6.638,7.05,19,0.857
motorola g6 plus,battery,5.566,5.622,28,0.785
motorola g7,battery,5.427,5.455,28,0.779
motorola g7 plus plus,battery,5.908,6.02,32,0.833
motorola g7 power plus,battery,6.53,6.77,30,0.809
motorola moto g,battery,4.994,4.958,49,0.78
motorola moto g7,battery,5.934,5.969,106,0.791
motorola moto g7 power,battery,6.985,7.05,152,0.806
motorola moto z4,battery,5.416,5.454,19,0.83
motorola one,battery,6.617,6.925,25,0.819
motorola pre paid,battery,4.975,4.851,15,0.767
motorola x4,battery,6.379,6.503,51,0.797
motorola z play,battery,6.297,6.422,47,0.762
motorola z3 play moto,battery,5.618,5.672,35,0.788
nokia 2,battery,5.59,5.611,79,0.806
nokia 3.1,battery,5.488,5.527,29,0.762
nokia 3310,battery,5.786,5.818,89,0.823
nokia 6,battery,5.279,5.278,81,0.833
nokia 7.1,battery,4.453,4.425,177,0.799
nokia 7.2,battery,4.916,4.786,17,0.74
nokia 9 pureview,battery,5.225,5.201,17,0.768
nokia lumia 530,battery,4.432,4.296,37,0.776
nokia lumia 635,battery,4.453,4.33,40,0.844
nokia lumia 822,battery,4.164,3.937,29,0.735
nokia lumia 900,battery,3.995,3.85,52,0.813
nokia lumia 920,battery,5.115,5.106,127,0.751
nokia lumia 925,battery,4.442,4.215,22,0.845
nokia lumia 928,battery,5.328,5.33,85,0.786
nokia lumia icon,battery,5.975,6.128,26,0.767
oneplus 6t mirror,battery,5.581,5.65,24,0.81
rog gaming zs600kl s845,battery,5.586,5.644,29,0.785
samsung convoy 3 rugged,battery,3.718,3.412,30,0.879
samsung convoy 4 rugged,battery,3.767,3.243,17,0.779
samsung convoy ruggedized ptt,battery,4.279,3.983,20,0.827
samsung galaxy a10,battery,6.529,6.693,44,0.818
samsung galaxy a10 duos,battery,7.522,8.206,19,0.849
samsung galaxy a20,battery,6.22,6.489,20,0.841
samsung galaxy a20 us,battery,6.93,7.106,54,0.849
samsung galaxy a30,battery,6.364,6.497,47,0.838
samsung galaxy a50 duos,battery,6.344,6.447,59,0.832
samsung galaxy a50 us,battery,6.626,6.854,34,0.845
samsung galaxy a70 6.7,battery,6.728,6.824,87,0.805
samsung galaxy j2 2018,battery,5.697,5.853,15,0.834
samsung galaxy j3 2018,battery,4.659,4.511,25,0.766
samsung galaxy j3 prime,battery,4.479,4.262,22,0.834
samsung galaxy j5,battery,4.881,4.791,27,0.828
samsung galaxy j7,battery,5.602,5.63,65,0.773
samsung galaxy note 10,battery,5.205,5.196,54,0.77
samsung galaxy note 3,battery,5.054,5.036,78,0.818
samsung galaxy note 4,battery,3.861,3.774,96,0.802
samsung galaxy note 5,battery,4.498,4.428,66,0.801
samsung galaxy note 8,battery,4.928,4.896,67,0.843
samsung galaxy note 9,battery,6.585,6.687,74,0.85
samsung galaxy note8,battery,4.653,4.606,79,0.804
samsung galaxy prevail ii,battery,3.768,3.381,23,0.831
samsung galaxy s10,battery,5.663,5.701,57,0.82
samsung galaxy s10 plus,battery,6.015,6.102,48,0.808
samsung galaxy s10e,battery,5.692,5.798,22,0.797
samsung galaxy s10e plus,battery,5.919,6.064,25,0.802
samsung galaxy s4,battery,4.633,4.577,69,0.803
samsung galaxy s4 sgh,battery,3.359,2.941,27,0.837
samsung galaxy s5,battery,3.127,2.992,94,0.8
samsung galaxy s6,battery,3.012,2.885,105,0.851
samsung galaxy s6 active,battery,4.665,4.613,70,0.767
samsung galaxy s6 edge,battery,3.707,3.611,97,0.769
samsung galaxy s6 wireless,battery,3.087,2.611,27,0.828
samsung galaxy s7,battery,3.451,3.33,89,0.813
samsung galaxy s7 active,battery,4.684,4.613,50,0.842
samsung galaxy s7 edge,battery,4.669,4.61,62,0.84
samsung galaxy s8,battery,4.464,4.374,54,0.819
samsung galaxy s8 active,battery,5.197,5.186,48,0.784
samsung galaxy s8 plus,battery,4.876,4.827,50,0.781
samsung galaxy s9,battery,5.727,5.848,21,0.877
samsung galaxy s9 plus,battery,4.941,4.907,60,0.815
samsung gophone,battery,5.835,5.889,58,0.834
samsung gusto 3,battery,4.363,4.252,49,0.837
samsung net 10 unlimited,battery,4.853,4.761,28,0.822
samsung replenish,battery,4.388,4.076,17,0.761
sony xperia 10 plus,battery,5.292,5.291,21,0.774
sony xperia l1,battery,4.401,4.174,23,0.803
sony xperia l2,battery,5.38,5.394,36,0.769
sony xperia x,battery,5.386,5.397,49,0.796
sony xperia x performance,battery,4.49,4.328,29,0.817
sony xperia xa ultra,battery,4.519,4.48,116,0.779
sony xperia xa1,battery,5.311,5.314,28,0.833
sony xperia xa1 ultra,battery,4.148,4.024,54,0.838
sony xperia xa2 ultra,battery,6.353,6.422,90,0.789
sony xperia xz,battery,5.384,5.394,54,0.796
sony xperia xz forest,battery,5.318,5.321,47,0.787
sony xperia xz premium,battery,5.876,5.959,41,0.802
sony xperia xz1,battery,5.043,4.982,24,0.799
sony xperia xz2 premium,battery,6.341,6.606,23,0.733
xiaomi mi 8 lite,battery,6.335,6.514,34,0.795
xiaomi mi 9 plus,battery,5.727,5.86,19,0.812
xiaomi mi 9t pro,battery,6.263,6.545,20,0.815
xiaomi mi a2,battery,5.443,5.453,86,0.798
xiaomi mi a2 lite,battery,6.71,6.976,31,0.759
xiaomi mi a3,battery,6.606,6.803,39,0.805
xiaomi mi a3 plus,battery,6.606,6.803,39,0.805
xiaomi pocophone f1,battery,7.105,7.312,51,0.838
xiaomi redmi 7 plus,battery,6.859,7.21,26,0.874
xiaomi redmi note 6,battery,6.8,6.893,94,0.82
xiaomi redmi note 7,battery,6.661,6.754,86,0.778
xiaomi redmi note 8,battery,5.94,6.036,39,0.811
apple iphone 6s,build_quality,3.723,3.527,41,0.867
