model_key,name,brand,price,image,url,listings,reviews_total,avg_rating,reviews_sampled
samsung galaxy s7 edge,Samsung Galaxy S7 Edge,Samsung,217.47,https://m.media-amazon.com/images/I/71ap4Pp+y0L._AC_UY218_ML3_.jpg,https://www.amazon.com/SAMSUNG-GALAXY-INTERNATIONAL-VERSION-WARRANTY/dp/B01D1J9BGU,14,2153,3.579,400
samsung galaxy s7,Samsung Galaxy S7,Samsung,237.47,https://m.media-amazon.com/images/I/61EzDilvK7L._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-SM-G930V-Verizon-Renewed/dp/B01N4E0RF1,17,1926,3.486,400
samsung galaxy s4,Samsung Galaxy S4,Samsung,169.93,https://m.media-amazon.com/images/I/81suaO+v0mL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-S4-White-Frost/dp/B00E6FGSHY,5,1577,3.999,400
samsung galaxy note 5,Samsung Galaxy Note 5,Samsung,262.49,https://m.media-amazon.com/images/I/814SsOj-45L._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Note-Verizon-Wireless/dp/B013XAPUW6,19,1519,3.311,400
samsung galaxy s6,Samsung Galaxy S6,Samsung,137.49,https://m.media-amazon.com/images/I/81oYNE1MUxL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-G920A-Unlocked-Octa-Core-Smartphone/dp/B00WHE2WCG,19,1484,3.166,400
samsung galaxy s8 plus,Samsung Galaxy S8 Plus,Samsung,439.98,https://m.media-amazon.com/images/I/51wJeaY3ekL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Smartphone/dp/B06Y16RL4W,18,1433,3.698,400
samsung galaxy note 3,Samsung Galaxy Note 3,Samsung,246.5,https://m.media-amazon.com/images/I/91eFtaIWpcL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Note-Verizon-Wireless/dp/B00F2SKPIM,3,1336,4.138,400
samsung galaxy note 8,Samsung Galaxy Note 8,Samsung,407.99,https://m.media-amazon.com/images/I/615Y7qMu7lL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Unlocked-Midnight-Certified-Refurbished/dp/B076XLLCQC,7,1228,3.914,400
xiaomi redmi note 7,Xiaomi Redmi Note 7,Xiaomi,176.94,https://m.media-amazon.com/images/I/61ZaskM5hBL._AC_UY218_ML3_.jpg,https://www.amazon.com/Xiaomi-Redmi-Note-Snapdragon-Black/dp/B07PY52GVP,7,1199,4.281,400
apple iphone 6s,Apple iPhone 6S,Apple,152.95,https://m.media-amazon.com/images/I/61+mrwyL24L._AC_UY218_ML3_.jpg,https://www.amazon.com/Apple-iPhone-Unlocked-Dual-Core-Camera/dp/B06XRJQX91,9,1104,3.493,400
samsung galaxy note 9,Samsung Galaxy Note 9,Samsung,515.85,https://m.media-amazon.com/images/I/71VMn6229fL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Warranty/dp/B07FZH9BGV,17,1063,4.034,400
motorola g6,Motorola G6,Motorola,118.96,https://m.media-amazon.com/images/I/51L6DbMbvKL._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-G6-Unlocked-T-Mobile-PAAE0011US/dp/B07WSJYDXX,3,944,3.799,400
nokia lumia 900,Nokia Lumia 900,Nokia,109.98,https://m.media-amazon.com/images/I/81ZlbLtZ3PL._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Lumia-900-Factory-Unlocked/dp/B00836Y6B2,1,795,3.286,400
